date,sp500,birkin,balenciaga,paddington,cpi
2014-08-01,2003.3699951171875,12033.424657534246,966.5753424657535,291.64383561643837,236.75013698630136
2014-09-01,1972.2900390625,12050.410958904109,949.5890410958904,287.3972602739726,236.77561643835617
2014-10-01,2018.050048828125,12066.849315068494,933.1506849315068,283.28767123287673,236.80027397260272
2014-11-01,2067.56005859375,12083.835616438357,916.1643835616438,279.04109589041093,236.82575342465753
2014-12-01,2058.89990234375,12100.27397260274,899.7260273972603,274.93150684931504,236.8504109589041
2015-01-01,1994.989990234375,12117.260273972603,882.7397260273973,270.6849315068493,236.8758904109589
2015-02-01,2104.5,12134.246575342466,865.7534246575342,266.43835616438355,236.90136986301368
2015-03-01,2067.889892578125,12149.589041095891,850.4109589041095,262.6027397260274,236.92438356164382
2015-04-01,2085.510009765625,12166.575342465754,833.4246575342465,258.35616438356163,236.94986301369863
2015-05-01,2107.389892578125,12183.013698630137,816.986301369863,254.24657534246575,236.97452054794522
2015-06-01,2063.110107421875,12200.0,800.0,250.0,237.0
2015-07-01,2103.840087890625,12265.573770491803,795.9016393442623,249.18032786885246,237.24590163934425
2015-08-01,1972.1800537109375,12333.333333333334,791.6666666666666,248.33333333333334,237.5
2015-09-01,1920.030029296875,12401.092896174863,787.431693989071,247.4863387978142,237.75409836065575
2015-10-01,2079.360107421875,12466.666666666666,783.3333333333334,246.66666666666666,238.0
2015-11-01,2080.409912109375,12534.426229508197,779.0983606557377,245.81967213114754,238.25409836065575
2015-12-01,2043.93994140625,12600.0,775.0,245.0,238.5
2016-01-01,1940.239990234375,12667.75956284153,770.7650273224044,244.15300546448088,238.75409836065575
2016-02-01,1932.22998046875,12735.51912568306,766.5300546448087,243.30601092896174,239.00819672131146
2016-03-01,2059.739990234375,12798.907103825137,762.568306010929,242.5136612021858,239.24590163934425
2016-04-01,2065.300048828125,12866.666666666666,758.3333333333334,241.66666666666666,239.5
2016-05-01,2096.949951171875,12932.24043715847,754.2349726775956,240.84699453551912,239.74590163934425
2016-06-01,2098.860107421875,13000.0,750.0,240.0,240.0
2016-07-01,2173.60009765625,13123.287671232876,745.8904109589041,240.82191780821918,240.4191780821918
2016-08-01,2170.949951171875,13250.684931506848,741.6438356164383,241.67123287671234,240.85232876712328
2016-09-01,2168.27001953125,13378.082191780823,737.3972602739726,242.5205479452055,241.2854794520548
2016-10-01,2126.14990234375,13501.369863013699,733.2876712328767,243.34246575342465,241.70465753424656
2016-11-01,2198.81005859375,13628.767123287671,729.0410958904109,244.1917808219178,242.13780821917808
2016-12-01,2238.830078125,13752.054794520547,724.931506849315,245.013698630137,242.55698630136985
2017-01-01,2278.8701171875,13879.452054794521,720.6849315068494,245.86301369863014,242.99013698630137
2017-02-01,2363.639892578125,14006.849315068494,716.4383561643835,246.7123287671233,243.42328767123288
2017-03-01,2362.719970703125,14121.917808219177,712.6027397260274,247.4794520547945,243.8145205479452
2017-04-01,2384.199951171875,14249.31506849315,708.3561643835617,248.32876712328766,244.2476712328767
2017-05-01,2411.800048828125,14372.602739726028,704.2465753424658,249.15068493150685,244.66684931506848
2017-06-01,2423.409912109375,14500.0,700.0,250.0,245.1
2017-07-01,2470.300048828125,14606.849315068494,695.8904109589041,252.46575342465752,245.5931506849315
2017-08-01,2471.64990234375,14717.260273972603,691.6438356164383,255.013698630137,246.10273972602738
2017-09-01,2519.360107421875,14827.671232876712,687.3972602739726,257.56164383561645,246.61232876712327
2017-10-01,2575.260009765625,14934.520547945205,683.2876712328767,260.027397260274,247.1054794520548
2017-11-01,2647.580078125,15044.931506849314,679.0410958904109,262.5753424657534,247.6150684931507
2017-12-01,2673.610107421875,15151.780821917808,674.931506849315,265.04109589041093,248.10821917808218
2018-01-01,2823.81005859375,15262.191780821919,670.6849315068494,267.5890410958904,248.61780821917807
2018-02-01,2713.830078125,15372.602739726028,666.4383561643835,270.13698630136986,249.12739726027397
2018-03-01,2640.8701171875,15472.328767123288,662.6027397260274,272.43835616438355,249.58767123287672
2018-04-01,2648.050048828125,15582.739726027397,658.3561643835617,274.986301369863,250.0972602739726
2018-05-01,2705.27001953125,15689.589041095891,654.2465753424658,277.45205479452056,250.5904109589041
2018-06-01,2718.3701171875,15800.0,650.0,280.0,251.1
2018-07-01,2816.2900390625,15972.602739726028,647.5342465753424,281.64383561643837,251.47808219178083
2018-08-01,2901.52001953125,16150.95890410959,644.986301369863,283.3424657534247,251.86876712328765
2018-09-01,2913.97998046875,16329.31506849315,642.4383561643835,285.041095890411,252.2594520547945
2018-10-01,2711.739990234375,16501.91780821918,639.972602739726,286.6849315068493,252.63753424657534
2018-11-01,2760.169921875,16680.27397260274,637.4246575342465,288.3835616438356,253.0282191780822
2018-12-01,2506.85009765625,16852.87671232877,634.9589041095891,290.027397260274,253.406301369863
2019-01-01,2704.10009765625,17031.23287671233,632.4109589041096,291.7260273972603,253.79698630136986
2019-02-01,2784.489990234375,17209.58904109589,629.8630136986301,293.4246575342466,254.1876712328767
2019-03-01,2834.39990234375,17370.68493150685,627.5616438356165,294.958904109589,254.54054794520547
2019-04-01,2945.830078125,17549.04109589041,625.013698630137,296.6575342465753,254.93123287671233
2019-05-01,2752.06005859375,17721.64383561644,622.5479452054794,298.3013698630137,255.30931506849313
2019-06-01,2941.760009765625,17900.0,620.0,300.0,255.7
2019-07-01,2980.3798828125,18145.90163934426,618.360655737705,304.0983606557377,255.95409836065573
2019-08-01,2926.4599609375,18400.0,616.6666666666666,308.3333333333333,256.21666666666664
2019-09-01,2976.739990234375,18654.09836065574,614.9726775956284,312.56830601092895,256.4792349726776
2019-10-01,3037.56005859375,18900.0,613.3333333333334,316.6666666666667,256.73333333333335
2019-11-01,3140.97998046875,19154.09836065574,611.639344262295,320.9016393442623,256.99590163934425
2019-12-01,3230.780029296875,19400.0,610.0,325.0,257.25
2020-01-01,3225.52001953125,19654.09836065574,608.3060109289618,329.23497267759564,257.5125683060109
2020-02-01,2954.219970703125,19908.196721311477,606.6120218579235,333.46994535519127,257.77513661202187
2020-03-01,2584.590087890625,20145.90163934426,605.0273224043716,337.43169398907105,258.0207650273224
2020-04-01,2912.429931640625,20400.0,603.3333333333334,341.6666666666667,258.28333333333336
2020-05-01,3044.31005859375,20645.90163934426,601.6939890710382,345.76502732240436,258.5374316939891
2020-06-01,3100.2900390625,20900.0,600.0,350.0,258.8
2020-07-01,3271.1201171875,21089.04109589041,606.5753424657535,355.75342465753425,259.8027397260274
2020-08-01,3500.31005859375,21284.383561643837,613.3698630136986,361.6986301369863,260.83890410958907
2020-09-01,3363.0,21479.72602739726,620.1643835616438,367.64383561643837,261.8750684931507
2020-10-01,3269.9599609375,21668.76712328767,626.7397260273973,373.3972602739726,262.87780821917806
2020-11-01,3621.6298828125,21864.109589041094,633.5342465753424,379.3424657534247,263.9139726027397
2020-12-01,3756.070068359375,22053.15068493151,640.1095890410959,385.09589041095893,264.9167123287671
2021-01-01,3714.239990234375,22248.49315068493,646.9041095890411,391.041095890411,265.95287671232876
2021-02-01,3811.14990234375,22443.835616438355,653.6986301369863,396.986301369863,266.9890410958904
2021-03-01,3972.889892578125,22620.27397260274,659.8356164383562,402.35616438356163,267.9249315068493
2021-04-01,4181.169921875,22815.616438356163,666.6301369863014,408.3013698630137,268.96109589041095
2021-05-01,4204.10986328125,23004.657534246577,673.2054794520548,414.05479452054794,269.96383561643836
2021-06-01,4297.5,23200.0,680.0,420.0,271.0
2021-07-01,4395.259765625,23249.31506849315,685.7534246575342,426.5753424657534,272.78356164383564
2021-08-01,4522.68017578125,23300.27397260274,691.6986301369863,433.36986301369865,274.62657534246574
2021-09-01,4307.5400390625,23351.23287671233,697.6438356164383,440.16438356164383,276.4695890410959
2021-10-01,4605.3798828125,23400.54794520548,703.3972602739726,446.73972602739724,278.2531506849315
2021-11-01,4567.0,23451.50684931507,709.3424657534247,453.5342465753425,280.09616438356164
2021-12-01,4766.18017578125,23500.821917808218,715.0958904109589,460.1095890410959,281.8797260273973
2022-01-01,4515.5498046875,23551.780821917808,721.0410958904109,466.9041095890411,283.7227397260274
2022-02-01,4373.93994140625,23602.739726027397,726.986301369863,473.6986301369863,285.56575342465754
2022-03-01,4530.41015625,23648.76712328767,732.3561643835617,479.83561643835617,287.2304109589041
2022-04-01,4131.93017578125,23699.72602739726,738.3013698630137,486.63013698630135,289.07342465753425
2022-05-01,4132.14990234375,23749.04109589041,744.054794520548,493.20547945205476,290.85698630136983
2022-06-01,3785.3798828125,23800.0,750.0,500.0,292.7
2022-07-01,4130.2900390625,23610.95890410959,737.6712328767123,512.3287671232877,293.686301369863
2022-08-01,3955.0,23415.616438356163,724.931506849315,525.068493150685,294.70547945205476
2022-09-01,3585.6201171875,23220.27397260274,712.1917808219179,537.8082191780821,295.72465753424655
2022-10-01,3871.97998046875,23031.23287671233,699.8630136986301,550.1369863013699,296.7109589041096
2022-11-01,4080.110107421875,22835.890410958906,687.1232876712329,562.8767123287671,297.7301369863014
2022-12-01,3839.5,22646.84931506849,674.7945205479452,575.2054794520548,298.71643835616436
2023-01-01,4076.60009765625,22451.50684931507,662.054794520548,587.945205479452,299.73561643835615
2023-02-01,3970.14990234375,22256.164383561645,649.3150684931506,600.6849315068494,300.75479452054793
2023-03-01,4109.31005859375,22079.72602739726,637.8082191780823,612.1917808219177,301.67534246575343
